code,name,utf8
U+26AA,white circle,0xE2 0x9A 0xAA,
U+26AB,black circle,0xE2 0x9A 0xAB,
U+1F7E4,brown circle,0xF0 0x9F 0x9F 0xA4,
U+1F7E3,purple circle,0xF0 0x9F 0x9F 0xA3,
U+1F535,blue circle,0xF0 0x9F 0x94 0xB5,
U+1F7E2,green circle,0xF0 0x9F 0x9F 0xA2,
U+1F7E1,yellow circle,0xF0 0x9F 0x9F 0xA1,
U+1F7E0,orange circle,0xF0 0x9F 0x9F 0xA0,
U+1F534,red circle,0xF0 0x9F 0x94 0xB4,
U+1F235,Japanese “no vacancy” button,0xF0 0x9F 0x88 0xB5,
U+1F23A,Japanese “open for business” button,0xF0 0x9F 0x88 0xBA,
U+3299,Japanese “secret” button,0xE3 0x8A 0x99,
U+3297,Japanese “congratulations” button,0xE3 0x8A 0x97,
U+1F233,Japanese “vacancy” button,0xF0 0x9F 0x88 0xB3,
U+1F234,Japanese “passing grade” button,0xF0 0x9F 0x88 0xB4,
U+1F238,Japanese “application” button,0xF0 0x9F 0x88 0xB8,
U+1F251,Japanese “acceptable” button,0xF0 0x9F 0x89 0x91,
U+1F232,Japanese “prohibited” button,0xF0 0x9F 0x88 0xB2,
U+1F21A,Japanese “free of charge” button,0xF0 0x9F 0x88 0x9A,
U+1F239,Japanese “discount” button,0xF0 0x9F 0x88 0xB9,
U+1F250,Japanese “bargain” button,0xF0 0x9F 0x89 0x90,
U+1F22F,Japanese “reserved” button,0xF0 0x9F 0x88 0xAF,
U+1F236,Japanese “not free of charge” button,0xF0 0x9F 0x88 0xB6,
U+1F237,Japanese “monthly amount” button,0xF0 0x9F 0x88 0xB7,
U+1F202,Japanese “service charge” button,0xF0 0x9F 0x88 0x82,
U+1F201,Japanese “here” button,0xF0 0x9F 0x88 0x81,
U+1F19A,VS button,0xF0 0x9F 0x86 0x9A,
U+1F199,UP! button,0xF0 0x9F 0x86 0x99,
U+1F198,SOS button,0xF0 0x9F 0x86 0x98,
U+1F17F,P button,0xF0 0x9F 0x85 0xBF,
U+1F197,OK button,0xF0 0x9F 0x86 0x97,
U+1F17E,O button (blood type),0xF0 0x9F 0x85 0xBE,
U+1F196,NG button,0xF0 0x9F 0x86 0x96,
U+1F195,NEW button,0xF0 0x9F 0x86 0x95,
U+24C2,circled M,0xE2 0x93 0x82,
U+1F194,ID button,0xF0 0x9F 0x86 0x94,
U+2139,information,0xE2 0x84 0xB9,
U+1F193,FREE button,0xF0 0x9F 0x86 0x93,
U+1F192,COOL button,0xF0 0x9F 0x86 0x92,
U+1F191,CL button,0xF0 0x9F 0x86 0x91,
U+1F171,B button (blood type),0xF0 0x9F 0x85 0xB1,
U+1F18E,AB button (blood type),0xF0 0x9F 0x86 0x8E,
U+1F170,A button (blood type),0xF0 0x9F 0x85 0xB0,
U+1F524,input latin letters,0xF0 0x9F 0x94 0xA4,
U+1F523,input symbols,0xF0 0x9F 0x94 0xA3,
